Run,N,Block Size,Num Threads,Sequential Time,Threadpool Time,Rayon Time
93,1000,50,4,1.729555934s,686.7564ms,626.36187ms
94,1000,50,4,1.736285007s,688.000178ms,694.351586ms
95,1000,50,4,1.715796814s,664.997663ms,713.566182ms
96,1000,50,4,1.723548566s,685.580628ms,703.866478ms
97,1000,50,4,1.71131308s,677.740214ms,673.591963ms
98,1000,50,4,1.706639399s,703.008349ms,692.557772ms
99,1000,50,4,1.71602226s,717.614314ms,673.619144ms
100,1000,50,4,1.693469209s,693.132845ms,705.270242ms
101,1000,50,8,1.76426977s,727.962843ms,802.757425ms
102,1000,50,8,1.726019914s,719.227458ms,593.370203ms
103,1000,50,8,1.710468828s,653.598995ms,628.382275ms
104,1000,50,8,1.709482242s,686.958746ms,667.551924ms
105,1000,50,8,1.846074688s,711.716657ms,757.485037ms
106,1000,50,8,1.791011459s,692.567337ms,683.474002ms
107,1000,50,8,1.814083155s,662.977905ms,634.006101ms
108,1000,50,8,1.854614761s,674.505424ms,670.829321ms
109,1000,50,8,1.753314392s,707.014437ms,638.235736ms
110,1000,50,8,1.750668267s,666.465457ms,649.439863ms
111,1000,50,8,1.776776325s,653.892452ms,670.045269ms
112,1000,50,8,1.752504153s,693.236367ms,594.439311ms
113,1000,50,8,1.727717174s,673.94208ms,660.734772ms
114,1000,50,8,1.716172552s,849.538955ms,660.480451ms
115,1000,50,8,1.711792345s,659.553236ms,798.006645ms
116,1000,50,8,1.714742503s,666.535225ms,602.113971ms
117,1000,50,8,1.755441527s,728.162686ms,637.825645ms
118,1000,50,8,1.747890085s,704.465628ms,721.3465ms
119,1000,50,8,1.846822597s,654.728423ms,625.317605ms
120,1000,50,8,1.860740923s,693.432045ms,690.771376ms
121,1000,50,8,1.743580591s,739.331132ms,637.53615ms
122,1000,50,8,1.768537651s,683.864371ms,603.838026ms
123,1000,50,8,1.765619226s,718.925224ms,682.063059ms
124,1000,50,8,1.799521922s,643.812671ms,630.923211ms
125,1000,50,8,1.741274983s,679.581879ms,705.774125ms
126,1000,50,8,1.736542617s,695.178604ms,705.261383ms
127,1000,50,8,1.743469747s,688.697769ms,582.097684ms
128,1000,50,8,1.723481847s,653.625584ms,711.201962ms
129,1000,50,8,1.712111691s,646.844335ms,652.981971ms
130,1000,50,8,1.71494774s,702.312823ms,602.790299ms
131,1000,50,8,1.718948673s,642.83736ms,664.358116ms
132,1000,50,8,1.702692667s,659.441224ms,649.500895ms
133,1000,50,8,1.732800909s,711.219835ms,654.532264ms
134,1000,50,8,1.755219354s,672.011893ms,700.18072ms
135,1000,50,8,1.708476485s,693.664089ms,614.342335ms
136,1000,50,8,1.727966458s,675.03302ms,599.911544ms
137,1000,50,8,1.729289781s,647.876122ms,644.464396ms
138,1000,50,8,1.767577751s,745.862656ms,621.562293ms
139,1000,50,8,1.777490003s,678.379606ms,616.973034ms
140,1000,50,8,1.72104024s,717.380494ms,746.282926ms
141,1000,50,8,1.714734603s,663.744473ms,589.533822ms
142,1000,50,8,1.743981694s,661.343984ms,611.147712ms
143,1000,50,8,1.729555934s,691.197438ms,624.907563ms
144,1000,50,8,1.736285007s,676.487696ms,619.165662ms
145,1000,50,8,1.715796814s,680.537148ms,670.326109ms
146,1000,50,8,1.723548566s,667.058011ms,673.419257ms
147,1000,50,8,1.71131308s,675.777324ms,667.384249ms
148,1000,50,8,1.706639399s,664.762301ms,636.047776ms
149,1000,50,8,1.71602226s,645.925893ms,660.261587ms
150,1000,50,8,1.693469209s,684.060142ms,683.45209ms
151,1000,50,16,1.76426977s,698.711594ms,683.342088ms
152,1000,50,16,1.726019914s,656.242573ms,607.153134ms
153,1000,50,16,1.710468828s,638.179078ms,636.980497ms
154,1000,50,16,1.709482242s,669.494096ms,582.589581ms
155,1000,50,16,1.846074688s,691.077757ms,639.16601ms
156,1000,50,16,1.791011459s,671.335969ms,635.43808ms
157,1000,50,16,1.814083155s,724.652132ms,602.674676ms
158,1000,50,16,1.854614761s,663.614017ms,615.356052ms
159,1000,50,16,1.753314392s,722.75989ms,646.116273ms
160,1000,50,16,1.750668267s,668.963463ms,599.143595ms
161,1000,50,16,1.776776325s,636.331569ms,629.574362ms
162,1000,50,16,1.752504153s,672.369528ms,645.437497ms
163,1000,50,16,1.727717174s,659.950389ms,664.745236ms
164,1000,50,16,1.716172552s,645.546403ms,679.73761ms
165,1000,50,16,1.711792345s,651.496396ms,613.636284ms
166,1000,50,16,1.714742503s,670.229252ms,644.445741ms
167,1000,50,16,1.755441527s,709.171053ms,606.568394ms
168,1000,50,16,1.747890085s,689.918068ms,645.45506ms
169,1000,50,16,1.846822597s,665.857784ms,637.851341ms
170,1000,50,16,1.860740923s,664.380463ms,713.270117ms
171,1000,50,16,1.743580591s,670.133331ms,635.698091ms
172,1000,50,16,1.768537651s,677.924378ms,611.784027ms
173,1000,50,16,1.765619226s,702.208939ms,661.804847ms
174,1000,50,16,1.799521922s,694.301762ms,565.239605ms
175,1000,50,16,1.741274983s,671.422333ms,572.034235ms
176,1000,50,16,1.736542617s,702.36742ms,610.496215ms
177,1000,50,16,1.743469747s,680.274474ms,618.02146ms
178,1000,50,16,1.723481847s,668.784438ms,639.600614ms
179,1000,50,16,1.712111691s,650.932624ms,606.831482ms
180,1000,50,16,1.71494774s,743.282246ms,683.348158ms
181,1000,50,16,1.718948673s,687.283925ms,736.701464ms
182,1000,50,16,1.702692667s,651.769165ms,616.856851ms
183,1000,50,16,1.732800909s,658.830735ms,614.241733ms
184,1000,50,16,1.755219354s,683.151091ms,639.182028ms
185,1000,50,16,1.708476485s,709.688846ms,643.365068ms
186,1000,50,16,1.727966458s,681.318634ms,675.657834ms
187,1000,50,16,1.729289781s,669.963175ms,593.006442ms
188,1000,50,16,1.767577751s,677.105852ms,651.024682ms
189,1000,50,16,1.777490003s,680.245185ms,659.076262ms
190,1000,50,16,1.72104024s,655.089275ms,638.165279ms
191,1000,50,16,1.714734603s,680.609034ms,653.423158ms
192,1000,50,16,1.743981694s,695.265745ms,660.679692ms
193,1000,50,16,1.729555934s,669.38984ms,628.915401ms
194,1000,50,16,1.736285007s,647.957773ms,674.416501ms
195,1000,50,16,1.715796814s,677.774129ms,642.874246ms
196,1000,50,16,1.723548566s,680.324451ms,642.709396ms
197,1000,50,16,1.71131308s,678.005819ms,616.78636ms
198,1000,50,16,1.706639399s,696.067952ms,665.977222ms
199,1000,50,16,1.71602226s,811.818885ms,589.170699ms
