Run,N,Block Size,Num Threads,Sequential Time,Threadpool Time,Rayon Time
1,1000,50,2,5.5704918s,1.7828951s,2.165359s
2,1000,50,2,6.2005801s,1.5436396s,2.384726s
3,1000,50,2,5.3186632s,1.6164584s,1.834057s
4,1000,50,2,6.1018588s,1.7242389s,2.1790861s
5,1000,50,2,3.2157189s,1.6822012s,1.7252089s
6,1000,50,2,2.6976164s,1.9166333s,1.9266012s
7,1000,50,2,3.239299s,2.8698217s,2.7665583s
8,1000,50,2,2.8649994s,3.3021038s,3.6329699s
9,1000,50,2,3.537743s,2.6338409s,3.5365766s
10,1000,50,2,2.8767254s,2.3830543s,3.0158368s
11,1000,50,2,4.4514593s,2.0862888s,2.459966s
12,1000,50,2,2.9350772s,1.6836688s,2.6473082s
13,1000,50,2,5.3738944s,2.3501826s,2.6853949s
14,1000,50,2,5.9607717s,2.7549541s,3.2122009s
15,1000,50,2,6.1659389s,2.1754062s,3.2253418s
16,1000,50,2,6.1370176s,2.1305324s,3.3412133s
17,1000,50,2,6.1539868s,2.1789256s,2.7599776s
18,1000,50,2,4.8033014s,2.6630235s,3.1032371s
19,1000,50,2,4.2713207s,1.6040382s,2.4952855s
20,1000,50,2,3.211819s,1.7286866s,1.9431974s
21,1000,50,2,2.7049274s,1.6502672s,1.9311092s
22,1000,50,2,4.9473835s,1.6327112s,1.7943076s
23,1000,50,2,3.0611226s,1.5282167s,2.0184863s
24,1000,50,2,3.3479875s,1.5864726s,1.7485508s
25,1000,50,2,3.2101377s,1.6152581s,1.777799s
26,1000,50,2,4.6909473s,1.6410809s,1.8265659s
27,1000,50,2,3.6111488s,1.6221334s,2.0215192s
28,1000,50,2,2.6876137s,1.5778641s,1.8981763s
29,1000,50,2,3.4265308s,1.4561217s,1.7952084s
30,1000,50,2,4.2852103s,1.6765135s,1.9216624s
31,1000,50,2,4.3253527s,2.5972827s,2.7765183s
32,1000,50,2,4.4752415s,1.9393698s,2.789117s
33,1000,50,2,3.0941481s,1.9245759s,2.9274535s
34,1000,50,2,2.9357845s,2.1527135s,2.2566087s
35,1000,50,2,2.8442452s,1.8925129s,2.6549521s
36,1000,50,2,2.729818s,1.5684832s,2.3942077s
37,1000,50,2,2.5071955s,1.636503s,1.9128931s
38,1000,50,2,2.5313678s,1.6646632s,1.9368735s
39,1000,50,2,2.9084101s,1.5973696s,1.664656s
40,1000,50,2,3.319572s,1.640149s,1.8555751s
41,1000,50,2,3.267457s,1.4617744s,1.7676621s
42,1000,50,2,4.1089638s,1.4337293s,1.8062411s
43,1000,50,2,5.8141914s,1.5970101s,1.7712547s
44,1000,50,2,4.0121221s,1.574582s,1.8833512s
45,1000,50,2,3.8743572s,1.5690697s,1.8724811s
46,1000,50,2,5.0815809s,1.5169747s,1.9522078s
47,1000,50,2,5.7706182s,1.5717684s,1.8189083s
48,1000,50,2,3.7989041s,1.8710111s,2.0321857s
49,1000,50,2,3.7228865s,1.5133921s,1.7956175s
50,1000,50,2,3.4818047s,1.5624807s,1.898085s
51,1000,50,4,5.5704918s,1.0508572s,1.2428032s
52,1000,50,4,6.2005801s,1.0658365s,1.3847789s
53,1000,50,4,5.3186632s,1.0533546s,1.3995587s
54,1000,50,4,6.1018588s,1.1157639s,1.1751242s
55,1000,50,4,3.2157189s,1.1732512s,1.560951s
56,1000,50,4,2.6976164s,1.1187515s,1.5962595s
57,1000,50,4,3.239299s,1.0634745s,1.3815541s
58,1000,50,4,2.8649994s,1.1004032s,1.4470271s
59,1000,50,4,3.537743s,992.1824ms,1.6680204s
60,1000,50,4,2.8767254s,1.1157844s,1.3410985s
61,1000,50,4,4.4514593s,991.625ms,1.4509161s
62,1000,50,4,2.9350772s,1.1965509s,1.2340553s
63,1000,50,4,5.3738944s,1.3947133s,1.2062398s
64,1000,50,4,5.9607717s,1.3163854s,1.6714524s
65,1000,50,4,6.1659389s,1.0216726s,1.5288382s
66,1000,50,4,6.1370176s,1.0150046s,1.4501754s
67,1000,50,4,6.1539868s,1.2006609s,1.2649691s
68,1000,50,4,4.8033014s,1.1548555s,1.6622857s
69,1000,50,4,4.2713207s,1.0966224s,1.4575188s
70,1000,50,4,3.211819s,1.6377438s,1.4828547s
71,1000,50,4,2.7049274s,1.4324487s,2.0375886s
72,1000,50,4,4.9473835s,1.266754s,1.777757s
73,1000,50,4,3.0611226s,1.1707412s,1.8989272s
74,1000,50,4,3.3479875s,1.2335191s,2.0653936s
75,1000,50,4,3.2101377s,1.2735865s,1.3617745s
76,1000,50,4,4.6909473s,1.1268714s,1.1471685s
77,1000,50,4,3.6111488s,1.4504779s,1.5266993s
78,1000,50,4,2.6876137s,1.2364945s,1.6013794s
79,1000,50,4,3.4265308s,1.1196267s,1.5789379s
80,1000,50,4,4.2852103s,1.2877285s,1.6746867s
81,1000,50,4,4.3253527s,1.0679959s,1.5946931s
82,1000,50,4,4.4752415s,1.1570646s,1.2668448s
83,1000,50,4,3.0941481s,1.0783416s,1.592137s
84,1000,50,4,2.9357845s,1.199911s,1.2207976s
85,1000,50,4,2.8442452s,1.1940407s,1.5553871s
86,1000,50,4,2.729818s,1.1148167s,1.5656296s
87,1000,50,4,2.5071955s,1.173487s,1.5853204s
88,1000,50,4,2.5313678s,1.3369936s,1.5642046s
89,1000,50,4,2.9084101s,1.1338402s,1.5009293s
90,1000,50,4,3.319572s,994.6189ms,1.3752766s
91,1000,50,4,3.267457s,940.954ms,1.4427156s
92,1000,50,4,4.1089638s,1.0958964s,1.4233244s
93,1000,50,4,5.8141914s,1.0927515s,1.4141306s
94,1000,50,4,4.0121221s,965.1263ms,1.3461896s
95,1000,50,4,3.8743572s,959.8553ms,1.4338237s
96,1000,50,4,5.0815809s,1.034015s,1.4821763s
97,1000,50,4,5.7706182s,1.0143438s,1.1843937s
98,1000,50,4,3.7989041s,1.0184858s,1.2562937s
99,1000,50,4,3.7228865s,1.0265601s,1.288123s
100,1000,50,4,3.4818047s,1.1171924s,1.327058s
101,1000,50,8,5.5704918s,958.1446ms,957.8516ms
102,1000,50,8,6.2005801s,939.0937ms,952.701ms
103,1000,50,8,5.3186632s,883.0943ms,1.106291s
104,1000,50,8,6.1018588s,975.2829ms,998.1936ms
105,1000,50,8,3.2157189s,1.0318493s,1.127244s
106,1000,50,8,2.6976164s,928.2847ms,1.1473469s
107,1000,50,8,3.239299s,1.0080083s,1.2100306s
108,1000,50,8,2.8649994s,902.4276ms,1.0030757s
109,1000,50,8,3.537743s,993.7299ms,1.0287103s
110,1000,50,8,2.8767254s,1.0274441s,1.0347758s
111,1000,50,8,4.4514593s,1.0745507s,1.0266155s
112,1000,50,8,2.9350772s,955.7506ms,1.3929859s
113,1000,50,8,5.3738944s,1.110814s,1.1236687s
114,1000,50,8,5.9607717s,1.2171805s,1.0932729s
115,1000,50,8,6.1659389s,1.045811s,1.2231979s
116,1000,50,8,6.1370176s,989.4611ms,900.7134ms
117,1000,50,8,6.1539868s,985.4629ms,1.1501781s
118,1000,50,8,4.8033014s,1.1100615s,1.105205s
119,1000,50,8,4.2713207s,1.0713789s,1.1317248s
120,1000,50,8,3.211819s,1.0825925s,1.2168582s
121,1000,50,8,2.7049274s,1.0013738s,1.2477288s
122,1000,50,8,4.9473835s,997.8001ms,1.1176457s
123,1000,50,8,3.0611226s,994.9314ms,1.3985142s
124,1000,50,8,3.3479875s,937.5293ms,1.3920407s
125,1000,50,8,3.2101377s,1.1146017s,1.0806909s
126,1000,50,8,4.6909473s,995.2753ms,1.3874103s
127,1000,50,8,3.6111488s,902.105ms,1.2024093s
128,1000,50,8,2.6876137s,1.3304942s,1.5243652s
129,1000,50,8,3.4265308s,1.2481457s,1.7023211s
130,1000,50,8,4.2852103s,992.8166ms,1.1291856s
131,1000,50,8,4.3253527s,978.7818ms,1.273365s
132,1000,50,8,4.4752415s,1.0848431s,1.3601947s
133,1000,50,8,3.0941481s,1.0045894s,1.2994717s
134,1000,50,8,2.9357845s,1.0095156s,1.0498415s
135,1000,50,8,2.8442452s,917.1913ms,1.0740785s
136,1000,50,8,2.729818s,1.2003676s,1.3579141s
137,1000,50,8,2.5071955s,1.0407117s,1.2292934s
138,1000,50,8,2.5313678s,1.0771819s,1.1054467s
139,1000,50,8,2.9084101s,892.6054ms,1.0098022s
140,1000,50,8,3.319572s,835.2711ms,1.4588667s
141,1000,50,8,3.267457s,949.6464ms,992.1479ms
142,1000,50,8,4.1089638s,985.6391ms,1.3022123s
143,1000,50,8,5.8141914s,1.0437528s,1.506149s
144,1000,50,8,4.0121221s,1.3435434s,1.1957943s
145,1000,50,8,3.8743572s,1.016797s,1.1307186s
146,1000,50,8,5.0815809s,897.2576ms,1.1868158s
147,1000,50,8,5.7706182s,1.1071921s,1.3053323s
148,1000,50,8,3.7989041s,1.0504476s,1.5506694s
149,1000,50,8,3.7228865s,1.2610839s,1.5938559s
150,1000,50,8,3.4818047s,1.052577s,1.0572654s
151,1000,50,16,5.5704918s,1.0634825s,1.1661555s
152,1000,50,16,6.2005801s,908.4386ms,1.2080719s
153,1000,50,16,5.3186632s,955.1438ms,930.3246ms
154,1000,50,16,6.1018588s,925.5505ms,955.7459ms
155,1000,50,16,3.2157189s,1.2754023s,1.1020485s
156,1000,50,16,2.6976164s,1.0499866s,1.1364718s
157,1000,50,16,3.239299s,1.0880963s,1.0947221s
158,1000,50,16,2.8649994s,1.0067847s,1.455405s
159,1000,50,16,3.537743s,1.116074s,947.4094ms
160,1000,50,16,2.8767254s,904.8321ms,948.112ms
161,1000,50,16,4.4514593s,939.0509ms,999.6547ms
162,1000,50,16,2.9350772s,976.8949ms,1.0266683s
163,1000,50,16,5.3738944s,1.0450219s,1.113145s
164,1000,50,16,5.9607717s,964.2363ms,959.5573ms
165,1000,50,16,6.1659389s,967.115ms,1.1013218s
166,1000,50,16,6.1370176s,990.8942ms,1.0424301s
167,1000,50,16,6.1539868s,1.102189s,1.164945s
168,1000,50,16,4.8033014s,992.6803ms,1.1221149s
169,1000,50,16,4.2713207s,1.0084878s,1.2096309s
170,1000,50,16,3.211819s,882.1874ms,996.7804ms
171,1000,50,16,2.7049274s,946.8656ms,914.1916ms
172,1000,50,16,4.9473835s,893.6711ms,901.9668ms
173,1000,50,16,3.0611226s,947.9836ms,970.5437ms
174,1000,50,16,3.3479875s,882.8167ms,914.5822ms
175,1000,50,16,3.2101377s,899.0362ms,921.2431ms
176,1000,50,16,4.6909473s,925.3204ms,905.1906ms
177,1000,50,16,3.6111488s,930.8585ms,971.0991ms
178,1000,50,16,2.6876137s,878.9236ms,928.9658ms
179,1000,50,16,3.4265308s,915.1244ms,880.824ms
180,1000,50,16,4.2852103s,953.7924ms,968.7351ms
181,1000,50,16,4.3253527s,946.4459ms,938.5241ms
182,1000,50,16,4.4752415s,874.094ms,944.7919ms
183,1000,50,16,3.0941481s,893.8189ms,962.204ms
184,1000,50,16,2.9357845s,950.9515ms,910.4764ms
185,1000,50,16,2.8442452s,975.7454ms,964.1642ms
186,1000,50,16,2.729818s,977.079ms,1.0272754s
187,1000,50,16,2.5071955s,888.8461ms,965.8822ms
188,1000,50,16,2.5313678s,1.0784563s,926.0408ms
189,1000,50,16,2.9084101s,920.0559ms,1.0199664s
190,1000,50,16,3.319572s,988.1585ms,922.1535ms
191,1000,50,16,3.267457s,1.0085099s,968.5145ms
192,1000,50,16,4.1089638s,962.9876ms,1.0060157s
193,1000,50,16,5.8141914s,944.0438ms,959.3345ms
194,1000,50,16,4.0121221s,842.9014ms,921.4962ms
195,1000,50,16,3.8743572s,988.2265ms,902.9399ms
196,1000,50,16,5.0815809s,954.0347ms,981.7248ms
197,1000,50,16,5.7706182s,1.0834329s,952.9893ms
198,1000,50,16,3.7989041s,918.2665ms,987.2021ms
199,1000,50,16,3.7228865s,964.6537ms,932.7332ms
200,1000,50,16,3.4818047s,1.2143235s,1.0565244s
201,1000,100,2,5.5704918s,1.7177982s,2.1097029s
202,1000,100,2,6.2005801s,1.5941923s,1.7068306s
203,1000,100,2,5.3186632s,1.8218784s,2.1577914s
204,1000,100,2,6.1018588s,1.6811049s,2.9828488s
205,1000,100,2,3.2157189s,1.8707826s,2.4395149s
206,1000,100,2,2.6976164s,1.8520369s,2.0406982s
